station_name,type,lat,lng,time_to_raffles,
Jurong East,MRT,1.333207,103.742308,27,
Bukit Batok,MRT,1.349069,103.749596,30,
Bukit Gombak,MRT,1.359043,103.751863,32,
Choa Chu Kang,MRT,1.385417,103.744316,36,
Yew Tee,MRT,1.397383,103.747523,39,
Kranji,MRT,1.425302,103.762049,44,
Marsiling,MRT,1.432579,103.77415,47,
Woodlands,MRT,1.436984,103.786406,47,
Admiralty,MRT,1.436984,103.786406,44,
Sembawang,MRT,1.449133,103.82006,41,
Yishun,MRT,1.429666,103.835044,35,
Khatib,MRT,1.417423,103.832995,33,
Yio Chu Kang,MRT,1.381765,103.844923,27,
Ang Mo Kio,MRT,1.370025,103.849588,25,
Bishan,MRT,1.35092,103.848206,21,
Braddell,MRT,1.34055,103.847098,19,
Toa Payoh,MRT,1.332405,103.847436,17,
Novena,MRT,1.320089,103.843405,14,
Newton,MRT,1.31383,103.838021,12,
Orchard,MRT,1.304041,103.831792,9,
Somerset,MRT,1.300508,103.838428,7,
Dhoby Ghaut,MRT,1.299169,103.845799,5,
City Hall,MRT,1.293119,103.852089,2,
Raffles Place,MRT,1.284001,103.85155,0,
Marina Bay,MRT,1.276481,103.854598,2,
Marina South Pier,MRT,1.271422,103.863581,5,
Tuas Link,MRT,1.340371,103.636866,51,
Tuas West Road,MRT,1.330075,103.639636,49,
Tuas Crescent,MRT,1.321091,103.649075,47,
Gul Circle,MRT,1.319809,103.66083,44,
Joo Koon,MRT,1.327826,103.678318,41,
Pioneer,MRT,1.337645,103.69742,37,
Boon Lay,MRT,1.33862,103.705817,35,
Lakeside,MRT,1.344264,103.720797,32,
Chinese Garden,MRT,1.342436,103.732582,30,
Clementi,MRT,1.314925,103.765341,23,
Dover,MRT,1.311414,103.778596,20,
Buona Vista,MRT,1.307337,103.790046,17,
Commonwealth,MRT,1.302439,103.798326,15,
Queenstown,MRT,1.294867,103.805902,13,
Redhill,MRT,1.289674,103.816787,10,
Tiong Bahru,MRT,1.286555,103.826956,8,
Outram Park,MRT,1.280319,103.839459,5,
Tanjong Pagar,MRT,1.276385,103.846771,3,
Bugis,MRT,1.300747,103.855873,5,
Lavender,MRT,1.307577,103.863155,7,
Kallang,MRT,1.311532,103.871372,9,
Aljunied,MRT,1.316474,103.882762,12,
Paya Lebar,MRT,1.318214,103.893133,14,
Eunos,MRT,1.319809,103.902888,16,
Kembangan,MRT,1.320998,103.913433,19,
Bedok,MRT,1.324043,103.930205,22,
Tanah Merah,MRT,1.327309,103.946479,25,
Simei,MRT,1.343237,103.953343,28,
Tampines,MRT,1.354467,103.943325,31,
Pasir Ris,MRT,1.373234,103.949343,34,
Expo,MRT,1.334479,103.961459,28,
Changi Airport,MRT,1.357622,103.988487,32,
HarbourFront,MRT,1.265453,103.820514,12,
Chinatown,MRT,1.284566,103.843626,11,
Clarke Quay,MRT,1.288949,103.847521,11,
Little India,MRT,1.306691,103.849396,11,
Farrer Park,MRT,1.312679,103.854872,13,
Boon Keng,MRT,1.320091,103.861655,15,
Potong Pasir,MRT,1.331316,103.868779,18,
Woodleigh,MRT,1.339202,103.870727,19,
Serangoon,MRT,1.349862,103.873635,21,
Kovan,MRT,1.360207,103.885163,24,
Hougang,MRT,1.371406,103.892533,26,
Buangkok,MRT,1.382991,103.893347,28,
Sengkang,MRT,1.391682,103.895475,30,
Punggol,MRT,1.405191,103.902367,33,
Bras Basah,MRT,1.296978,103.850715,11,
Esplanade,MRT,1.293995,103.855396,12,
Promenade,MRT,1.294063,103.860156,10,
Nicoll Highway,MRT,1.300292,103.863449,12,
Stadium,MRT,1.302847,103.875417,14,
Mountbatten,MRT,1.306106,103.883175,16,
Dakota,MRT,1.308474,103.888825,18,
MacPherson,MRT,1.326769,103.889901,20,
Tai Seng,MRT,1.33594,103.887706,22,
Bartley,MRT,1.342923,103.87966,24,
Lorong Chuan,MRT,1.35153,103.864957,27,
Marymount,MRT,1.349089,103.839116,28,
Caldecott,MRT,1.337649,103.839627,27,
Botanic Gardens,MRT,1.322387,103.814905,18,
Farrer Road,MRT,1.317606,103.807711,24,
Holland Village,MRT,1.311189,103.796119,22,
one-north,MRT,1.299854,103.787584,22,
Kent Ridge,MRT,1.293629,103.784441,24,
Haw Par Villa,MRT,1.283149,103.781991,24,
Pasir Panjang,MRT,1.276111,103.791893,22,
Labrador Park,MRT,1.27218,103.802557,19,
Telok Blangah,MRT,1.270769,103.809878,17,
Bayfront,MRT,1.281371,103.858998,8,
Bukit Panjang,MRT,1.37834,103.762452,33,
Cashew,MRT,1.369997,103.764569,31,
Hillview,MRT,1.363185,103.767371,30,
Beauty World,MRT,1.341607,103.775682,26,
King Albert Park,MRT,1.335721,103.783203,24,
Sixth Avenue,MRT,1.331221,103.79718,22,
Tan Kah Kee,MRT,1.325826,103.807959,20,
Stevens,MRT,1.320012,103.825964,16,
Rochor,MRT,1.303601,103.852581,10,
Downtown,MRT,1.27949,103.852802,10,
Telok Ayer,MRT,1.282285,103.848584,11,
Fort Canning,MRT,1.291631,103.844621,15,
Bencoolen,MRT,1.298477,103.849984,16,
Jalan Besar,MRT,1.305551,103.855443,18,
Bendemeer,MRT,1.313674,103.863098,20,
