NAME,DESCRIPTIO,Longitude,Latitude
Telok Ayer Green,"Bounded by Amoy Street, Boon Tat Street and Telok Ayer Street",103.847644,1.281465
Mayflower Crescent Playground,At the junction of Mayflower Crescent and Mayflower Avenue,103.839569,1.372718
Sunrise Drive Playground 1,Located along Sunrise Drive,103.85737,1.388306
Elias Terrace Playground,Junction of Elias Terrace and Elias Green,103.941094,1.37219
Kew Avenue Playground,Junction of Kew Avenue and Kew Drive,103.948451,1.321627
Greenfield Drive Playground,Greenfield Drive,103.917656,1.313035
Sun Plaza Park,"Along Tampines Avenue 7, Tampines Avenue 9",103.944482,1.359264
Changi Point Ferry Terminal,Near Lor Bekukong,103.987296,1.391226
Shangri-La Playground,Junction of Ang Mo Kio Ave 2 and Jalan Lanjut,103.832392,1.371021
Opera Estate Football Field,Swan Lake Avenue,103.924456,1.320101
Lentor Vale Playground,Junction of Lentor Vale and Lentor Way,103.836146,1.388054
Limau Villas Playground,End of Limau Terrace from Jalan Langgar Bedok,103.950395,1.323852
Paya Lebar Crescent Open Space,Central open space at round about along Paya lebar cresent (road),103.883569,1.348967
Mugliston Park Playground,Junction of Gerald Drive & Mugliston Park,103.877906,1.385446
Sungei Api Api Park,"Entrance via Pasir Ris Drive 3, Riverina View and Elias Road",103.945667,1.378733
Yio Chu Kang Gardens Playground,Turn right after Yio Chu Kang estate entrance,103.837487,1.380681
Tampines Eco Green,"Tampines Avenue 9 and Tampines Avenue 12
",103.94869,1.363915
Mimosa Terrace Playground,Located along Mimosa Rd,103.86045,1.38405
Neram Crescent Playground,Neram Crescent,103.865744,1.385589
Changi Point Waterfront Park,Near Lor Bekukong,103.988089,1.390647
Aida Park,Between Bedok South Road and Aida Street,103.927927,1.31938
Tai Keng Gardens Playground,"A garden with hill top flanked by Jalan Lokam (Road), Tai keng Lane and Tai keng Garden (Road)",103.884998,1.346071
Realty Park,Along Hougang Ave 4�?,1.367964,
Changi Point Promenade,Near Lor Bekukong,103.98919,1.390172
Aroozoo Avenue Playground,Bounded by Aroozoo Ave and Jalan Mastuli,103.885955,1.355196
St. Anne's Wood Playground,Inside the private housing estate at St Anne's Wood,103.903736,1.39164
Bedok Terrace Playground,Between Bedok Rise and Bedok Terrace,103.94749,1.325534
Bunga Rampai Park,"Located along Jalan Bunga Rampai (Road) is a transitional zone among Bartley MRT, Bartley Secondary School and Jalan Bunga Rampai Estate",103.884275,1.340453
Handy Road Open Space,"Bounded by Handy Road, Orchard Road and Zubir Said Drive; In front of The Cathay 鈻€",103.847775,1.298971
Kitchener Green Playground,Along Kitchener Road,103.859533,1.307305
Penang Road Open Space,Along Penang Road and Oxley Road 鈻€,103.841238,1.300097
National Orchid Garden,"In the Central Core of the Singapore Botanic Gardens.
Address: 1 Cluny Road, Singapore 259569",103.813894,1.31267
Eng Kong Garden Playground,Located along Lorong Kismis and Eng Kong Terrace,103.769163,1.336924
Sennett Avenue Open Space,Sennett Ave,103.939424,1.318785
Interim Park At Lengkong Enam,Along Jalan Selamat and Lengkong Tujuh,103.914737,1.327364
Pesari Walk Playground,Along Taman Bedok,103.953982,1.324428
Changi Heights Playground,Jalan Terang Bulan,103.972157,1.362848
Jalan Senang Playground,Along Jalan Senang,103.915658,1.328996
Telok Kurau Park,"A green space along Bedok Reservoir PCN. Entrance along Joo Chiat Place, Joo Chiat Walk, Joo Chiat Ave and Lorong J Telok Kurau (Road)",103.914286,1.315365
Sunrise Place Playground,Located along Sunrise Place,103.8566,1.386943
Seletar Terrace Playground,Located along Seletar Terrace,103.86872,1.381468
Upper Peirce Reservoir Park,Along Old Upper Thomson Road,103.811353,1.374509
Tai Hwan Terrace Playground,Bounded by Tai Hwan Grove and Tai Hwan Terrace,103.860395,1.356359
Woodlands Town Park East,Along Woodlands street 13,103.779226,1.436524
Tamarind Road Playground,Tamarind Road,103.860192,1.389702
Woodlands Waterfront Park,Admiralty Road West,103.780115,1.4527
Ellington Square Playground,Near Ang Mo Kio Ave 2/ Ang Mo Kio Street 11 and Ellington Square,103.83453,1.372002
Thrift Drive Open Space,"Green open space along Upper Paya Lebar (Road) and along Thrift Drive (Road), facing Jalan Gotong Royong (Road)",103.883247,1.343887
Cactus Road Playground,Located in Cactus Rd,103.852236,1.390109
Serenade Walk Playground,Serenade walk road,103.83456,1.379921
Gelenggang Park,Upper Thomson Road behind ESSO station.  Junction of Jalan Kuras/Jalan Gelenggang,103.829858,1.373476
Park Villas Terrace Playground,Along Hougang Ave 2 and Park Villas Terrace,103.880039,1.368982
Jalan Kemuning Park,Off Sembawang Road/Jalan Kemuning Road,103.826964,1.439358
Sunrise Terrace Open Space,Located along Sunrise Terrace,103.856121,1.388258
Sunrise Close Playground,Located at the junction of Sunrise Ave & Sunrise Place,103.85751,1.387012
Thomson Walk Playground,Thomson Walk Road,103.832499,1.375997
Burgundy Crescent Playground,"Burgundy Crescent, within Burgundy Hill Residences",103.760905,1.339827
Lorong Kemunchup Playground,Along Lorong Kemunchup,103.760959,1.36042
Chestnut Drive Playground,Junction of Chestnut Drive and Chestnut Terrace,103.76883,1.367634
Sunset Way Park,"Along Sunset Way, located just outside Clementi Park Condo",103.764779,1.327695
Pavilion Park Playground,"Pavilion Circle, off Bukit Batok Road",103.751977,1.372286
West Coast Green Playground,"West Coast Green, West Coast Gardens Estate",103.75636,1.31556
Jalan Dermawan Playground,Along Jln Dermawan,103.758606,1.360639
one-north Park: Rochester East,"Along Vista Exchange Green, in front of Rochester Mall",103.789162,1.305581
Jurong Central Park,Junction off Jalan Boon Lay & Boon Lay Way,103.707876,1.338017
Faber Height Open Space,Along Faber Walk,103.757668,1.322504
West Coast Place Playground,"West Coast Place, West Coast Gardens Estate",103.75845,1.314254
Westville Playground,"Westwood Crescent, along Jalan Bahar",103.698636,1.354237
Villa Verde Park,Junction of Choa Chu Kang North 5 and Stagmont Ring Rd,103.751411,1.389549
Chestnut Close Playground,Located at end of Chestnut Close,103.773357,1.36927
Upper Seletar Reservoir Park,"Along Mandai Road Track 7, off Mandai Road",103.805724,1.399749
Thong Soon Green Playground,Beside petrol kiosk,103.818446,1.400032
Springleaf Avenue Playground,Springleaf avenue,103.822384,1.400871
Lentor Walk Playground,Junction of Lentor Loop and Lentor Walk,103.838383,1.388631
Mariam Way Playground,Mariam Way,103.966205,1.361952
Mariam Walk Playground,Mariam Walk,103.968547,1.359547
Thomson Green Playground,"Thomson Green road, behind shop houses",103.832623,1.378692
Surin Avenue Neighbourhood Park,Bounded by Surin Ave and Aroozoo Ave,103.884109,1.355558
Mimosa Road Playground,Located at Mimosa Crescent next to Mimosa Park Condo,103.862974,1.384262
Chartwell Drive Park,Along Chartwell Drive,103.863872,1.359631
Springside Park,Can be seen from the main road,103.820607,1.405672
