school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,https://admiraltypri.moe.edu.sg/,11   WOODLANDS CIRCLE,738907,63620598,na,63627512,na,ADMIRALTY_PS@MOE.EDU.SG,Admiralty Station,"TIBS 965, 964, 913",MR PEK WEE HAUR,MDM CHUA MUI LING,MDM NUR SABARIAH BTE MOHD IBRAHIM,,,,,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.4429414,103.8003451
AHMAD IBRAHIM PRIMARY SCHOOL,http://www.ahmadibrahimpri.moe.edu.sg,10   YISHUN STREET 11,768643,67592906,na,67592927,na,aips@moe.edu.sg,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",MISS ONG LEE CHOO,MADAM SULASNI BINTE ABDUL RAHMAN,,,,,,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.4338487,103.8327098
AI TONG SCHOOL,http://www.aitong.moe.edu.sg,100  Bright Hill Drive,579646,64547672,na,64532726,na,AITONG_SCH@MOE.EDU.SG,Bishan MRT,"410, 162, 52",MDM GOH LING LING DIANE,"MDM NG BEE ENG, CINDY",MR YAK BENG WEI,,,,,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na,1.36071255,103.8330175
ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A   Prince Charles Crescent,159016,62485400,na,62485409,na,alexandra_ps@moe.edu.sg,Redhill Station  Tiong Bahru Station,"51, 122, 139, 186, 970.",MDM TEO CHING LING,MDM NORAINI BTE MANSOOR,,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.2912837,103.8240659
ANCHOR GREEN PRIMARY SCHOOL,http://www.anchorgreenpri.moe.edu.sg,31   Anchorvale Drive,544969,68861356,na,63159825,na,anchorgreen_ps@moe.edu.sg,MRT : NE16-Sengkang LRT : SW7-TongKang,"Bus 372, 110, 50",MDM NORLIZA BTE A RAHIM,MDM VASUNDHARA  REDDY,MDM NEO LAY PIN,,,,,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3903798,103.8873538
ANDERSON PRIMARY SCHOOL,http://www.andersonpri.moe.edu.sg,19   ANG MO KIO AVE 9,569785,64560340,na,65522310,na,anderson_ps@moe.edu.sg,Yio Chu Kang MRT Station,"Ang Mo Kio Ave 9 - Bus 76, 265, 268",MDM DELIA HOO,"MDM NGOH YING LI, JANE",,,,,,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.37631785,103.8355619
ANG MO KIO PRIMARY SCHOOL,http://www.angmokiopri.moe.edu.sg,20   ANG MO KIO AVENUE 3,569920,64520794,na,64588121,na,AMKPS@MOE.EDU.SG,Ang Mo Kio MRT Station,"76,132,165,166,169,200,000,000",MRS LIM BEE LAY,MR KYAW SAW LYNN,MDM TAN SIEW KHIM (CHEN XIUQIN),,,,,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3691002,103.8393602
ANGLO-CHINESE SCHOOL (JUNIOR),www.acsj.moe.edu.sg,16   WINSTEDT ROAD,227988,67337911,67337912,67346518,na,acjs@moe.edu.sg,Newton MRT Station,"5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M",MRS CHAILLAN MUI TUAN,MR CHIA CHEE WENG RICHARD CHRIS,,,,,,CENTRAL,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.30928255,103.8413025
ANGLO-CHINESE SCHOOL (PRIMARY),http://www.acspri.moe.edu.sg/,50   BARKER ROAD,309918,62501633,na,63531366,na,acps@moe.edu.sg,Newton MRT Station,"Bus 48, 66, 67, 170, 603, 972M",DR NG SIEW PENG IRENE,MDM CHOH THIAN JENG CELIA,MR CHUA THIAN KEONG,,,,,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil,1.31875235,103.8350769
ANGSANA PRIMARY SCHOOL,www.angsanapri.moe.edu.sg,3    Tampines Street 22,529366,67830427,na,67845293,na,angsana_pri@moe.edu.sg,Tampines and Simei Stations,"Bus Service 8, 17, 18, 20, 28, 34, 39, 59, 518, Feeder Bus Service 292",MISS FOONG YIN WEI,MR BHIMBAHADUR GURUNG,,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3635823,103.9389129
BEACON PRIMARY SCHOOL,https://beaconpri.moe.edu.sg/,36   Bukit Panjang Ring Road,679944,67697255,na,67697244,na,beaconprisch@moe.edu.sg,"Bangkit LRT, Fajar LRT Station","920, 922, 971, 972, 972A, 972M, 976",MISS PANG WEE MIAN,MR ONG HONG GHEE,MDM LELA BTE SHAMSUHADI,,,,,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.38411495,103.7738056
